,0
빙그레)비비빅,"1,500"
롯데)수박바,"1,200"
롯데)구구콘,"2,200"
롯데)죠스바,"1,200"
롯데푸드)빠삐코,"1,500"
빙그레)메로나,"1,500"
롯데)본가찰옥수수,"2,200"
나뚜루)초콜릿파인트,"14,900"
나뚜루)녹차파인트,"14,900"
나뚜루)녹차미니컵,"4,800"
